Date (Decimal Years),Surface Mass Change (Gt)
1971.4550228310502,-24.405635833740234
1971.5383561643835,-124.51595306396484
1971.6216894977167,-7.118239879608154
1971.7050228310502,59.38079833984375
1971.7883561643835,40.42371368408203
1971.8716894977167,69.52412414550781
1971.9550228310502,52.913291931152344
1972.0383561643835,132.7896728515625
1972.1216894977167,67.58143615722656
1972.2050228310502,63.95006561279297
1972.2883561643835,40.89899444580078
1972.3716894977167,65.8750228881836
1972.4550228310502,37.96535110473633
1972.5383561643835,2.5638625621795654
1972.6216894977167,34.58776092529297
1972.7050228310502,77.34521484375
1972.7883561643835,85.43269348144531
1972.8716894977167,44.24500274658203
1972.9550228310502,46.12834167480469
1973.0383561643835,92.5277328491211
1973.1216894977167,28.80966567993164
1973.2050228310502,39.16557312011719
1973.2883561643835,63.958560943603516
1973.3716894977167,45.318511962890625
