Participant-Surname,Experiment-Group,Drainage-Region-Set,Drainage-Region-ID,Drainage-Region-Area-(km2),Drainage-Region-Area-Observed-(km2),Start-Date-(decimal-years),End-Date-(decimal-years),Rate-of-Mass-Change-(Gt/yr),Rate-of-Mass-Change-Uncertainty-(Gt/yr)
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2005.4987, 2006.4958,  0.58319E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2006.4987, 2007.4958,  0.48254E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2007.4987, 2008.4958,  0.48938E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2008.4987, 2009.4958,  0.54821E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2009.4987, 2010.4958,  0.60750E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2010.4987, 2011.4958,  0.43272E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2011.4987, 2012.4958,  0.47288E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2012.4987, 2013.4958,  0.56985E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2013.4987, 2014.4958,  0.23152E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2014.4987, 2015.4958,  0.34200E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2015.4987, 2016.4958,  0.33490E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2016.4987, 2017.4958,  0.35717E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2017.4987, 2018.4958,  0.61675E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2018.4987, 2019.4958,  0.31615E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2019.4987, 2020.4958,  0.26674E+02,  0.46227E+01
Niwano,SMB,Rignot,   K-A,  0.27192E+06,  0.27192E+06, 2020.4987, 2021.4958,  0.60080E+02,  0.46227E+01
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1979.4987, 1980.4958,  0.72418E+01,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1980.4987, 1981.4958,  0.32044E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1981.4987, 1982.4958,  0.65072E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1982.4987, 1983.4958,  0.34680E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1983.4987, 1984.4958,  0.31782E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1984.4987, 1985.4958,  0.37119E+01,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1985.4987, 1986.4958,  0.41203E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1986.4987, 1987.4958,  0.47597E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1987.4987, 1988.4958,  0.82493E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1988.4987, 1989.4958,  0.27991E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1989.4987, 1990.4958,  0.11751E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1990.4987, 1991.4958,  0.36812E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1991.4987, 1992.4958,  0.43783E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1992.4987, 1993.4958,  0.65813E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1993.4987, 1994.4958,  0.27299E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1994.4987, 1995.4958,  0.25667E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1995.4987, 1996.4958,  0.64411E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1996.4987, 1997.4958,  0.34534E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1997.4987, 1998.4958,  0.83236E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1998.4987, 1999.4958,  0.35720E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 1999.4987, 2000.4958,  0.43448E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2000.4987, 2001.4958,  0.67186E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2001.4987, 2002.4958,  0.99693E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2002.4987, 2003.4958,  0.25283E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2003.4987, 2004.4958,  0.50311E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2004.4987, 2005.4958,  0.26975E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2005.4987, 2006.4958,  0.32642E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2006.4987, 2007.4958,  0.54065E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2007.4987, 2008.4958,  0.44235E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2008.4987, 2009.4958,  0.14605E+03,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2009.4987, 2010.4958,  0.32348E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2010.4987, 2011.4958,  0.87426E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2011.4987, 2012.4958,  0.10037E+03,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2012.4987, 2013.4958,  0.73367E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2013.4987, 2014.4958,  0.58066E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2014.4987, 2015.4958,  0.32334E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2015.4987, 2016.4958,  0.96896E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2016.4987, 2017.4958,  0.51922E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2017.4987, 2018.4958,  0.81195E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2018.4987, 2019.4958,  0.24210E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2019.4987, 2020.4958,  0.41445E+02,  0.13877E+02
Niwano,SMB,Rignot,  A-Ap,  0.81631E+06,  0.81631E+06, 2020.4987, 2021.4958,  0.69576E+02,  0.13877E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1979.4987, 1980.4958,  0.87892E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1980.4987, 1981.4958,  0.64715E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1981.4987, 1982.4958,  0.13239E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1982.4987, 1983.4958,  0.56617E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1983.4987, 1984.4958,  0.11325E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1984.4987, 1985.4958,  0.47712E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1985.4987, 1986.4958,  0.11261E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1986.4987, 1987.4958,  0.84949E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1987.4987, 1988.4958,  0.65175E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1988.4987, 1989.4958,  0.93840E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1989.4987, 1990.4958,  0.10261E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1990.4987, 1991.4958,  0.11921E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1991.4987, 1992.4958,  0.10498E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1992.4987, 1993.4958,  0.71763E+02,  0.11927E+02
